Created_at,Holders
2019-05-31 17:31:31.027,145252
2019-05-30 22:55:58.147,144858
2019-05-30 00:01:58.443,144253
2019-05-29 02:55:39.878,143761
2019-05-28 07:48:24.796,143241
2019-05-27 13:48:26.090,142689
2019-05-26 19:48:25.693,142258
2019-05-26 01:48:17.866,141872
2019-05-25 07:48:17.783,141473
2019-05-24 12:42:58.160,140901
2019-05-23 11:48:50.984,140320
2019-05-22 16:44:32.082,139776
2019-05-21 18:56:19.915,139105
2019-05-21 00:06:43.491,138566
2019-05-20 05:02:04.815,138117
2019-05-19 11:02:05.547,137406
2019-05-18 17:02:05.270,136967
2019-05-17 23:02:05.054,136752
2019-05-17 05:02:04.930,136408
2019-05-16 11:02:05.214,135804
2019-05-15 17:02:05.067,134858
2019-05-14 21:04:47.478,134113
2019-05-14 03:04:39.897,133739
2019-05-13 09:04:49.392,133561
2019-05-12 15:04:49.656,133145
2019-05-11 21:04:48.484,132742
2019-05-11 03:04:49.569,132312
2019-05-10 09:04:49.897,131626
2019-05-09 15:04:50.020,130816
2019-05-08 21:04:49.648,129642
2019-05-07 22:57:25.762,129209
2019-05-06 23:08:43.443,128957
2019-05-06 05:08:43.583,128723
2019-05-05 11:08:43.430,119921
2019-05-04 17:08:43.638,119708
2019-05-03 23:08:43.350,119400
2019-05-03 05:08:43.471,118833
2019-05-02 09:50:44.865,117838
2019-05-01 15:50:44.938,116994
2019-04-30 21:29:12.696,116524
2019-04-30 03:29:13.019,116093
2019-04-29 09:29:13.003,115747
2019-04-28 15:29:13.194,115267
2019-04-27 21:29:12.926,114636
2019-04-27 03:29:13.169,113968
2019-04-26 09:10:14.634,113263
2019-04-25 15:10:14.633,112382
2019-04-24 21:10:22.214,111965
2019-04-24 03:10:14.635,111311
2019-04-23 09:10:14.665,110641
2019-04-22 15:10:19.925,109960
2019-04-21 05:17:38.484,109006
2019-04-20 02:50:06.245,108164
2019-04-19 05:49:28.465,107739
2019-04-18 11:49:28.737,107386
2019-04-17 17:49:28.598,107078
2019-04-16 23:49:29.582,106813
2019-04-16 05:49:29.010,106693
2019-04-15 11:49:28.706,106392
2019-04-14 17:49:28.541,106148
2019-04-13 23:49:28.482,105906
2019-04-13 05:49:28.685,105720
2019-04-12 11:49:28.645,105436
2019-04-11 17:49:28.877,105167
2019-04-10 23:49:28.897,104889
2019-04-10 04:57:17.153,104278
2019-04-09 10:57:17.461,103712
2019-04-08 16:57:17.221,103154
2019-04-07 22:57:17.228,102927
2019-04-07 04:57:17.121,102738
2019-04-06 10:57:17.329,102484
2019-04-05 16:57:17.516,102176
2019-04-04 22:50:52.576,101893
2019-04-04 01:26:38.132,101598
2019-04-03 03:27:48.861,101022
2019-04-01 19:48:29.927,98949
2019-03-29 09:52:42.965,97774
2019-03-26 01:45:07.401,97032
2019-03-22 14:35:11.266,96280
2019-03-19 08:29:27.807,96007
