Created_at,Number_of_results
2019-05-30 11:47:02.239,117251
2019-05-29 03:20:02.443,116731
2019-05-27 13:50:37.040,113960
2019-05-25 13:49:05.057,114056
2019-05-23 21:58:05.952,114000
2019-05-21 20:08:48.794,110507
2019-05-20 08:05:56.377,110556
2019-05-18 08:04:24.077,108530
2019-05-16 08:02:51.970,107396
2019-05-13 21:08:54.237,105001
2019-05-11 21:07:22.083,102569
2019-05-09 21:05:50.388,98749
2019-05-08 09:01:47.537,93587
2019-05-06 20:11:48.499,90845
2019-05-04 20:10:17.029,88114
2019-05-02 20:05:22.552,83448
2019-04-30 12:32:18.341,80572
2019-04-28 12:30:45.537,77152
2019-04-26 09:13:19.415,73397
2019-04-24 09:11:47.191,70380
2019-04-22 09:06:48.768,66608
2019-04-17 20:54:50.800,63593
2019-04-15 20:53:18.811,62731
2019-04-13 20:51:46.751,61491
2019-04-11 20:50:14.704,60495
2019-04-09 20:00:44.466,58802
2019-04-07 19:59:12.489,57827
2019-04-05 19:57:40.134,57208
2019-04-03 09:28:08.341,56171
2019-03-31 21:57:04.793,55223
2019-03-29 21:55:29.370,52872
2019-03-27 21:53:54.097,50976
2019-03-25 13:45:30.904,48422
2019-03-23 02:36:22.157,47133
2019-03-20 20:31:02.402,45101
2019-03-18 05:36:03.737,44706
2019-03-16 03:04:27.515,42941
2019-03-13 15:47:17.130,41335
2019-03-12 06:11:04.150,40387
2019-03-10 06:09:29.844,39898
2019-03-08 15:58:15.881,38986
2019-03-06 15:51:06.048,37873
2019-03-04 17:59:56.173,37773
2019-03-02 10:05:01.194,36005
2019-02-26 22:36:07.015,35005
2019-02-24 18:38:53.218,33490
2019-02-22 18:37:19.335,33206
2019-02-20 18:35:45.488,32426
2019-02-18 18:34:11.552,31598
2019-02-16 18:32:37.483,30987
2019-02-14 18:31:03.459,29793
2019-02-12 18:29:29.643,30065
2019-02-10 14:11:13.109,29832
2019-02-08 14:09:39.481,29576
2019-02-06 08:54:29.269,29340
2019-02-04 08:52:55.625,29175
2019-02-02 08:51:21.996,29039
2019-01-31 08:49:48.513,28847
2019-01-29 10:32:25.950,28649
2019-01-27 10:30:52.539,28425
2019-01-25 10:29:19.023,28184
2019-01-23 10:27:45.527,27852
2019-01-21 10:26:12.104,27580
2019-01-19 10:24:38.675,27070
2019-01-17 10:23:05.354,26355
2019-01-15 09:43:18.368,25810
2019-01-13 09:41:44.952,25324
2019-01-11 09:40:11.686,24857
2019-01-08 09:23:56.365,24452
2019-01-06 12:03:57.326,24245
2019-01-04 11:59:10.117,24040
2019-01-02 21:39:14.034,23886
2018-12-31 23:54:26.261,23829
2018-12-29 23:52:53.060,23715
2018-12-27 12:13:39.121,23536
2018-12-25 12:12:05.960,23361
2018-12-23 12:10:32.616,23175
2018-12-21 12:08:59.420,22988
2018-12-19 12:00:10.436,22750
2018-12-17 20:08:32.617,22493
2018-12-15 13:52:04.549,21546
2018-12-13 08:01:03.048,20144
2018-12-12 02:17:03.596,20138
2018-12-09 23:29:34.923,19967
2018-12-07 23:26:24.962,19840
2018-12-05 11:49:25.578,19676
2018-12-03 07:10:32.109,19541
2018-11-30 21:21:18.681,19360
2018-11-27 00:46:23.871,18916
2018-11-23 19:15:06.531,18832
2018-11-21 11:04:36.621,18757
2018-11-19 11:01:57.245,18671
2018-11-17 10:59:20.564,18578
2018-11-15 00:36:23.032,18472
2018-11-13 00:33:48.421,18363
2018-11-10 05:44:07.644,18103
2018-11-08 05:41:41.961,17887
2018-11-06 01:09:23.702,17714
2018-11-04 01:07:00.031,17529
2018-11-02 01:04:26.352,17398
2018-10-31 01:01:50.567,17253
2018-10-28 19:50:42.074,17133
2018-10-26 19:48:22.423,17046
2018-10-24 19:46:08.764,16916
2018-10-21 17:14:41.019,16619
2018-10-19 15:13:56.928,16400
2018-10-17 15:11:42.229,16271
2018-10-15 15:09:17.322,16105
2018-10-13 15:07:01.775,15921
2018-10-10 09:07:32.096,15541
2018-10-08 09:04:40.224,15305
2018-10-06 04:20:57.413,15247
2018-10-04 04:18:52.153,15203
2018-07-31 00:43:00.106,13357
2018-07-29 00:41:18.984,13306
2018-07-27 00:39:24.696,13237
2018-07-24 19:05:56.461,13162
2018-07-23 09:18:28.624,13128
2018-07-21 09:18:20.783,13067
2018-07-18 16:07:07.713,12916
2018-07-18 15:22:07.576,12916
