Created_at,Number_of_results
2019-05-30 11:47:02.239,9861
2019-05-29 03:20:02.443,9822
2019-05-27 13:50:37.040,9580
2019-05-25 13:49:05.057,9589
2019-05-23 21:58:05.952,9591
2019-05-21 20:08:48.794,9371
2019-05-20 08:05:56.377,9376
2019-05-18 08:04:24.077,9260
2019-05-16 08:02:51.970,9207
2019-05-13 21:08:54.237,9087
2019-05-11 21:07:22.083,8962
2019-05-09 21:05:50.389,8776
2019-05-08 09:01:47.537,8532
2019-05-06 20:11:48.499,8441
2019-05-04 20:10:17.029,8229
2019-05-02 20:05:22.552,7976
2019-04-30 12:32:18.341,7812
2019-04-28 12:30:45.537,7595
2019-04-26 09:13:19.415,7329
2019-04-24 09:11:47.191,7078
2019-04-22 09:06:48.768,6716
2019-04-17 20:54:50.800,6386
2019-04-15 20:53:18.811,6253
2019-04-13 20:51:46.751,6131
2019-04-11 20:50:14.704,6043
2019-04-09 20:00:44.466,5894
2019-04-07 19:59:12.489,5820
2019-04-05 19:57:40.134,5766
2019-04-03 09:28:08.341,5695
2019-03-31 21:57:04.793,5607
2019-03-29 21:55:29.370,5171
2019-03-27 21:53:54.097,4768
2019-03-25 13:45:30.904,4306
2019-03-23 02:36:22.157,4219
2019-03-20 20:31:02.402,4106
2019-03-18 05:36:03.737,4075
2019-03-16 03:04:27.516,3980
2019-03-13 15:47:17.131,3900
2019-03-12 06:11:04.150,3821
2019-03-10 06:09:29.844,3788
2019-03-08 15:58:15.881,3724
2019-03-06 15:51:06.048,3590
2019-03-04 17:59:56.173,3596
2019-03-02 10:05:01.194,3412
2019-02-26 22:36:07.015,3416
2019-02-24 18:38:53.218,3247
2019-02-22 18:37:19.335,3220
2019-02-20 18:35:45.488,3185
2019-02-18 18:34:11.552,3123
2019-02-16 18:32:37.483,3085
2019-02-14 18:31:03.459,3004
2019-02-12 18:29:29.643,2933
2019-02-10 14:11:13.109,2910
2019-02-08 14:09:39.482,2891
2019-02-06 08:54:29.269,2862
2019-02-04 08:52:55.625,2855
2019-02-02 08:51:21.996,2838
2019-01-31 08:49:48.513,2812
2019-01-29 10:32:25.950,2798
2019-01-27 10:30:52.539,2776
2019-01-25 10:29:19.023,2748
2019-01-23 10:27:45.527,2718
2019-01-21 10:26:12.104,2693
2019-01-19 10:24:38.675,2653
2019-01-17 10:23:05.354,2596
2019-01-15 09:43:18.368,2524
2019-01-13 09:41:44.952,2467
2019-01-11 09:40:11.686,2408
2019-01-08 09:23:56.365,2340
2019-01-06 12:03:57.326,2320
2019-01-04 11:59:10.117,2294
2019-01-02 21:39:14.034,2265
2018-12-31 23:54:26.261,2258
2018-12-29 23:52:53.060,2230
2018-12-27 12:13:39.121,2188
2018-12-25 12:12:05.960,2175
2018-12-23 12:10:32.616,2162
2018-12-21 12:08:59.420,2122
2018-12-19 12:00:10.436,2095
2018-12-17 20:08:32.617,2050
2018-12-15 13:52:04.549,1959
2018-12-13 08:01:03.049,1830
2018-12-12 02:17:03.598,1824
2018-12-09 23:29:34.925,1809
2018-12-07 23:26:24.963,1801
2018-12-05 11:49:25.579,1784
2018-12-03 07:10:32.111,1767
2018-11-30 21:21:18.682,1751
2018-11-27 00:46:23.873,1688
2018-11-23 19:15:06.532,1549
2018-11-21 11:04:36.622,1546
2018-11-19 11:01:57.247,1543
2018-11-17 10:59:20.565,1537
2018-11-15 00:36:23.034,1529
2018-11-13 00:33:48.423,1523
2018-11-10 05:44:07.646,1519
2018-11-08 05:41:41.962,1506
2018-11-06 01:09:23.704,1494
2018-11-04 01:07:00.032,1482
2018-11-02 01:04:26.354,1476
2018-10-31 01:01:50.568,1473
2018-10-28 19:50:42.075,1467
2018-10-26 19:48:22.424,1464
2018-10-24 19:46:08.766,1459
2018-10-21 17:14:41.020,1446
2018-10-19 15:13:56.929,1438
2018-10-17 15:11:42.231,1433
2018-10-15 15:09:17.323,1428
2018-10-13 15:07:01.777,1419
2018-10-10 09:07:32.097,1410
2018-10-08 09:04:40.226,1394
2018-10-06 04:20:57.417,1386
2018-10-04 04:18:52.154,1379
2018-07-31 00:43:00.178,1051
2018-07-29 00:41:19.060,1036
2018-07-27 00:39:24.770,1012
2018-07-24 19:05:56.507,1002
2018-07-23 09:18:28.675,996
2018-07-21 09:18:20.846,987
2018-07-18 16:07:07.768,976
2018-07-18 15:22:07.607,976
