,Publishers
0,9861
1,9822
2,9580
3,9589
4,9591
5,9371
6,9376
7,9260
8,9207
9,9087
10,8962
11,8776
12,8532
13,8441
14,8229
15,7976
16,7812
17,7595
18,7329
19,7078
20,6716
21,6386
22,6253
23,6131
24,6043
25,5894
26,5820
27,5766
28,5695
29,5607
30,5171
31,4768
32,4306
33,4219
34,4106
35,4075
36,3980
37,3900
38,3821
39,3788
40,3724
41,3590
42,3596
43,3412
44,3416
45,3247
46,3220
47,3185
48,3123
49,3085
50,3004
51,2933
52,2910
53,2891
54,2862
55,2855
56,2838
57,2812
58,2798
59,2776
60,2748
61,2718
62,2693
63,2653
64,2596
65,2524
66,2467
67,2408
68,2340
69,2320
70,2294
71,2265
72,2258
73,2230
74,2188
75,2175
76,2162
77,2122
78,2095
79,2050
80,1959
81,1830
82,1824
83,1809
84,1801
85,1784
86,1767
87,1751
88,1688
89,1549
90,1546
91,1543
92,1537
93,1529
94,1523
95,1519
96,1506
97,1494
98,1482
99,1476
100,1473
101,1467
102,1464
103,1459
104,1446
105,1438
106,1433
107,1428
108,1419
109,1410
110,1394
111,1386
112,1379
113,1051
114,1036
115,1012
116,1002
117,996
118,987
119,976
120,976
121,255
122,132
123,162
124,235
125,255
126,206
127,192
128,192
129,153
130,102
131,255
132,255
133,159
134,255
135,132
136,162
137,235
138,255
139,206
140,192
141,192
142,153
143,102
144,255
145,255
146,159
